Vehicle,Stop_Order,Customer_ID,Latitude,Longitude,Time_Window
1,1,11,35.510372,51.22179,16:00-20:00
1,2,55,35.65082,51.34994,16:00-20:00
1,3,54,35.64609,51.35291,16:00-20:00
2,1,76,35.687313,51.45715,12:00-16:00
2,2,75,35.70274,51.420856,12:00-16:00
2,3,46,35.709007,51.362442,12:00-16:00
2,4,3,35.7228,51.313198,12:00-16:00
2,5,4,35.73822,51.29712,12:00-16:00
2,6,21,35.744053,51.299763,12:00-16:00
2,7,22,35.7585,51.3132,12:00-16:00
2,8,20,35.77866,51.32434,12:00-16:00
2,9,23,35.78585,51.33631,12:00-16:00
2,10,24,35.78672,51.33756,16:00-20:00
2,11,25,35.737125,51.306618,16:00-20:00
2,12,9,35.718746,51.31825,16:00-20:00
2,13,50,35.705658,51.354538,16:00-20:00
2,14,51,35.69532,51.369473,16:00-20:00
2,15,52,35.68627,51.354866,16:00-20:00
3,1,43,35.69134,51.38157,08:00-12:00
3,2,44,35.739517,51.374294,08:00-12:00
3,3,12,35.740692,51.33285,08:00-12:00
3,4,17,35.75297,51.330032,08:00-12:00
3,5,14,35.7404,51.31266,08:00-12:00
3,6,13,35.746296,51.314625,08:00-12:00
3,7,16,35.76532,51.31015,08:00-12:00
3,8,15,35.7601,51.28894,08:00-12:00
3,9,1,35.741547,51.27635,08:00-12:00
3,10,2,35.725945,51.290737,08:00-12:00
3,11,5,35.72939,51.247257,12:00-16:00
3,12,6,35.74758,51.2428,12:00-16:00
3,13,7,35.7553,51.27625,16:00-20:00
3,14,8,35.742268,51.29496,16:00-20:00
3,15,10,35.665897,51.30025,16:00-20:00
4,1,70,35.65839,51.49599,08:00-12:00
4,2,71,35.682945,51.486694,08:00-12:00
4,3,57,35.729084,51.468575,08:00-12:00
4,4,56,35.73702,51.46036,08:00-12:00
4,5,73,35.73941,51.4531,08:00-12:00
4,6,74,35.727615,51.436596,08:00-12:00
4,7,26,35.743084,51.44137,08:00-12:00
4,8,29,35.7903,51.44188,08:00-12:00
4,9,30,35.794144,51.44017,08:00-12:00
4,10,18,35.79223,51.38897,08:00-12:00
4,11,19,35.78555,51.37203,12:00-16:00
4,12,47,35.74066,51.41029,16:00-20:00
4,13,48,35.73744,51.376316,16:00-20:00
4,14,49,35.73142,51.345493,16:00-20:00
4,15,53,35.674046,51.34046,16:00-20:00
5,1,45,35.736492,51.396923,08:00-12:00
5,2,31,35.766373,51.43257,08:00-12:00
5,3,28,35.78845,51.49903,08:00-12:00
5,4,27,35.79848,51.47223,08:00-12:00
5,5,34,35.80407,51.47293,12:00-16:00
5,6,35,35.79432,51.496075,12:00-16:00
5,7,36,35.80239,51.50725,12:00-16:00
5,8,37,35.807224,51.515965,12:00-16:00
5,9,38,35.807224,51.515965,16:00-20:00
5,10,63,35.75868,51.56936,16:00-20:00
5,11,64,35.747696,51.539165,16:00-20:00
5,12,65,35.740257,51.537704,16:00-20:00
5,13,66,35.73577,51.51421,16:00-20:00
5,14,78,35.71753,51.50755,16:00-20:00
5,15,77,35.715195,51.487354,16:00-20:00
6,1,69,35.640717,51.403732,08:00-12:00
6,2,72,35.682945,51.486694,08:00-12:00
6,3,58,35.724674,51.51505,08:00-12:00
6,4,59,35.74781,51.52504,08:00-12:00
6,5,60,35.74312,51.52192,12:00-16:00
6,6,62,35.75807,51.51742,12:00-16:00
6,7,61,35.74842,51.47933,12:00-16:00
6,8,33,35.769344,51.448925,12:00-16:00
6,9,32,35.774384,51.42786,12:00-16:00
6,10,40,35.77975,51.44875,16:00-20:00
6,11,39,35.77793,51.4477,16:00-20:00
6,12,42,35.755356,51.43922,16:00-20:00
6,13,41,35.75326,51.44157,16:00-20:00
6,14,67,35.73925,51.466698,16:00-20:00
6,15,68,35.720802,51.46193,16:00-20:00
